brand,Model,Price,Rating,processor_brand,processor_tier,num_cores,num_threads,ram_memory,primary_storage_type,primary_storage_capacity,secondary_storage_type,secondary_storage_capacity,gpu_brand,gpu_type,is_touch_screen,display_size,resolution_width,resolution_height,OS,year_of_warranty,product_name,slug
asus,Asus VivoBook 14 X1400EA-EK322WS Notebook (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),31990,59.0,intel,core i3,2,4,8,ssd,512,no secondary storage,0,intel,integrated,False,14.0,1920,1080,windows,1,Asus VivoBook 14 X1400EA-EK322WS Notebook (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),asus-vivobook-14-x1400ea-ek322ws-notebook-11th-gen-core-i3-8gb-512gb-ssd-win11-home
asus,Asus Zenbook 14 Flip OLED 2023 UP3404VA-KN742WS Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),132000,73.0,intel,core i7,12,16,16,ssd,512,no secondary storage,0,intel,integrated,True,14.0,2880,1800,windows,1,Asus Zenbook 14 Flip OLED 2023 UP3404VA-KN742WS Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),asus-zenbook-14-flip-oled-2023-up3404va-kn742ws-laptop-13th-gen-core-i7-16gb-512gb-ssd-win11-home
asus,Asus Zenbook 14 OLED 2023 UX3402VA-KN741WS Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),115990,73.0,intel,core i7,12,16,16,ssd,512,no secondary storage,0,intel,integrated,False,14.0,2880,1800,windows,1,Asus Zenbook 14 OLED 2023 UX3402VA-KN741WS Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),asus-zenbook-14-oled-2023-ux3402va-kn741ws-laptop-13th-gen-core-i7-16gb-512gb-ssd-win11-home
asus,Asus Vivobook 14X OLED 2023 K3405VFB-KM541WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/4 GB Graphics),89990,70.0,intel,core i5,12,16,16,ssd,512,no secondary storage,0,nvidia,dedicated,False,14.0,2880,1800,windows,1,Asus Vivobook 14X OLED 2023 K3405VFB-KM541WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/4 GB Graphics),asus-vivobook-14x-oled-2023-k3405vfb-km541ws-laptop-13th-gen-core-i5-16gb-512gb-ssd-win11-4-gb-graphics
hp,HP Victus 15-fa1066TX Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),109990,71.0,intel,core i7,14,20,16,ssd,512,no secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1,HP Victus 15-fa1066TX Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),hp-victus-15-fa1066tx-gaming-laptop-13th-gen-core-i7-16gb-512gb-ssd-win11-home-6gb-graph
msi,MSI Summit E13 Flip Evo A11MT-213IN Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win10),81990,65.0,intel,core i7,4,8,16,ssd,512,no secondary storage,0,intel,integrated,True,13.4,1920,1200,windows,2,MSI Summit E13 Flip Evo A11MT-213IN Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win10),msi-summit-e13-flip-evo-a11mt-213in-laptop-11th-gen-core-i7-16gb-512gb-ssd-win10
hp,HP Pavilion 15-eg2017TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),52590,60.0,intel,core i3,6,8,8,ssd,512,no secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1,HP Pavilion 15-eg2017TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),hp-pavilion-15-eg2017tu-laptop-12th-gen-core-i3-8gb-512gb-ssd-win11-home
asus,Asus Zenbook 14 OLED 2023 UX3402VA-KN541WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),91240,75.0,intel,core i5,12,16,16,ssd,512,no secondary storage,0,intel,integrated,True,14.0,2880,1800,windows,1,Asus Zenbook 14 OLED 2023 UX3402VA-KN541WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),asus-zenbook-14-oled-2023-ux3402va-kn541ws-laptop-13th-gen-core-i5-16gb-512gb-ssd-win11-home
asus,Asus Vivobook 16 2023 X1605VAB-MB544WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),62990,59.0,intel,core i5,10,12,16,ssd,512,no secondary storage,0,intel,integrated,False,16.0,1920,1200,windows,1,Asus Vivobook 16 2023 X1605VAB-MB544WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),asus-vivobook-16-2023-x1605vab-mb544ws-laptop-13th-gen-core-i5-16gb-512gb-ssd-win11-home
msi,MSI Summit E13 Flip Evo A11MT-214IN Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win10),69990,70.0,intel,core i5,4,8,16,ssd,512,no secondary storage,0,intel,integrated,True,13.4,1920,1200,windows,2,MSI Summit E13 Flip Evo A11MT-214IN Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win10),msi-summit-e13-flip-evo-a11mt-214in-laptop-11th-gen-core-i5-16gb-512gb-ssd-win10
